"","tree","chamber","date","flux","fluxMedian","fluxSD","flux_g","fluxMedian_g","fluxSD_g","AIC","r2"
"69","35","1","2017-06-21","1.88619769610509","1.90239223076523","0.0206098666670468","1.95740241361214","1.97420829843351","0.0213878973776745","126.220004816739","0.996638323107596"
"70","35","2","2017-06-21","3.44696055008944","3.44565899061288","0.0368910252349744","3.57708468963953","3.57573399577212","0.0382836761940048","248.657543545309","0.994070984901535"
"71","36","1","2017-06-23","3.75217155542215","3.76505803651002","0.218283725215826","3.89381753250796","3.90719048341149","0.226524023156213","217.779900322528","0.993637608252783"
"72","37","1","2017-06-19","4.27010905226517","4.23850467216957","0.0301886507841968","4.4313073770318","4.39850991894585","0.0313282844267605","112.632321267686","0.999024731515511"
"73","37","2","2017-06-19","3.48161991607142","3.48728682958755","0.0257826399696306","3.61305246055109","3.61893330231921","0.0267559449415401","211.199142213975","0.999110091447244"
"74","37","3","2017-06-19","5.84363458758323","5.84217736179108","0.0423657538364542","6.06423413071833","6.06272189406963","0.0439650779900819","182.886732808246","0.999312222653675"
"75","38","1","2017-06-19","1.0197795448139","1.04872842157785","0.0221426272619906","1.05827663054245","1.08831833898378","0.0229785202981816","103.006493368057","0.991072753138225"
"76","38","2","2017-06-19","2.46190113202318","2.41653925923174","0.0398795562769399","2.55483888451751","2.50776458288344","0.0413850254782169","267.742371319157","0.993047378104834"
"77","39","1","2017-06-19","2.36220853059639","2.35589775007649","0.0313128259216534","2.45138284750982","2.44483383250098","0.0324948976253261","123.730509965433","0.997997076896873"
"78","39","2","2017-06-19","3.9360365294593","3.93262151194305","0.0248566397108071","4.084623482861","4.08107954706751","0.0257949878025459","147.32999948493","0.998839200955684"
"79","40","1","2017-06-19","2.0491071186611","2.06948919109125","0.0270873905891184","2.12646173203341","2.14761323585062","0.0281099504188139","76.9960081360379","0.998286373361118"
"80","40","2","2017-06-19","2.02153695904129","2.00596771892361","0.0594982995030305","2.09785078785988","2.08169380270006","0.0617443841085897","161.463182041277","0.995838511364524"
"81","41","1","2017-06-19","3.80994500051028",NA,"0.0266845861630339","3.95377194825754",NA,"0.0276919399645228","134.380546965798","0.997358026979363"
"82","41","2","2017-06-19","3.80012057886265","3.74084178227205","0.125466838722181","3.94357665076294","3.88206005588953","0.130203262070679","188.745862079484","0.996454106555287"
"83","1","1","2017-06-28","0.871706957402272",NA,"0.0184469363515773","0.904614243726991",NA,"0.0191433155776238","74.2740657250924","0.978099180126398"
"84","2","1","2017-06-28","1.47802943901383",NA,"0.045916278744701","1.53382564154838",NA,"0.047649636633825","150.222988366474","0.956609013370797"
"85","2","2","2017-06-28","3.36412243620296",NA,"0.0450148999848965","3.49111940381859",NA,"0.0467142304652863","161.365885429914","0.99130295984633"
"86","2","3","2017-06-28","2.56897442497698","2.49044142671886","0.171531985897519","2.66595423710963","2.58445658675407","0.178007386977944","350.702060951491","0.965605905327156"
"87","3","1","2017-06-28","1.40217075690581",NA,"0.0169139360401389","1.45510326384731",NA,"0.0175524438912286","88.2367852154501","0.992060586116649"
"88","4","1","2017-06-28","2.14763030015246",NA,"0.0307051607134878","2.22870420303533",NA,"0.0318642928124862","69.770459197688","0.992292262669723"
"89","5","1","2017-06-28","1.67142339965098",NA,"0.0345500654818254","1.73452030155717",NA,"0.0358543442737905","156.022670639826","0.977855027946551"
"90","5","2","2017-06-28","0.896157428284238","0.878745296842104","0.0634015880494943","0.929987729664939","0.911918283296012","0.065795023358998","165.662664028959","0.956548619798842"
"91","6","1","2017-06-28","2.4745753912902","2.54955330134354","0.100337504414305","2.56799160214156","2.64579995829058","0.104125285340946","186.309713168329","0.994299286680556"
"92","7","1","2017-06-28","1.42231057182832",NA,"0.0297022524671773","1.47600336483906",NA,"0.0308235243787142","68.7920578945908","0.983276386917731"
"93","8","1","2017-06-28","1.24725917328632",NA,"0.0126079679384244","1.29434370598155",NA,"0.0130839237712871","36.5770382044634","0.994916842513344"
"94","8","2","2017-06-28","2.53797298106972",NA,"0.0328586027826024","2.6337824762943",NA,"0.0340990281810867","113.466933936396","0.992348505896829"
"95","8","3","2017-06-28","3.09210953687103",NA,"0.060264997139929","3.20883790873173",NA,"0.0625400248879601","183.433255408915","0.98209334179047"
"96","9","1","2017-06-28","1.22835210140667","1.2650715036482","0.0573563160471933","1.27472288457561","1.31282845893952","0.0595215399205013","124.654076303767","0.988763717393904"
"97","10","1","2017-06-28","0.857384501588257","0.872908356203579","0.0224383332629459","0.889751109477014","0.905860995813606","0.0232853893189554","156.436936363941","0.985525726739637"
"98","10","2","2017-06-28","2.02247740028733",NA,"0.0211779894026142","2.09882673113913",NA,"0.0219774669737587","55.7763202236711","0.995415880252503"
"99","11","1","2017-06-28","1.21244500814464","1.24461063660316","0.0315888789119673","1.2582152921801","1.29159518597919","0.0327813717264456","195.55856952923","0.969307882093933"
"100","11","2","2017-06-28","1.73497071860749",NA,"0.0334668209583285","1.80046655722321",NA,"0.0347302068362338","88.1068314283361","0.984973663961664"
"101","12","1","2017-06-28","1.00747764147657",NA,"0.0274597217274825","1.04551032543336",NA,"0.0284963372065836","106.845437708548","0.965569279775454"
"102","12","2","2017-06-28","1.00747764147657",NA,"0.0274597217274825","1.04551032543336",NA,"0.0284963372065836","106.845437708548","0.965569279775454"
"103","13","1","2017-06-28","1.56978636538677",NA,"0.0225195871967576","1.62904642859467",NA,"0.0233697106212701","103.770271420758","0.989411847317892"
"104","13","2","2017-06-28","1.56978636538677",NA,"0.0225195871967576","1.62904642859467",NA,"0.0233697106212701","103.770271420758","0.989411847317892"
"105","14","1","2017-06-28","1.82212116217181",NA,"0.0434205110922659","1.89090696489226",NA,"0.0450596527542034","169.86494447638","0.97185463756061"
"106","14","2","2017-06-28","2.56404550564427",NA,"0.0529639243267607","2.66083924910055",NA,"0.0549633336556656","110.491641669205","0.984044616692205"
"107","14","3","2017-06-28","2.28227612445952",NA,"0.0244910565162014","2.36843296106832",NA,"0.0254156036961106","144.229169512901","0.993365385657071"
"108","15","1","2017-06-28","1.12129767546215","1.09794044152129","0.209341643392908","1.16362711122991","1.1393881323649","0.217244374167648","277.815220169909","0.880517697262527"
"109","15","2","2017-06-28","1.25599350696566",NA,"0.02535883076531","1.30340776425102",NA,"0.0263161367702327","58.1611870732205","0.984350586225087"
"110","16","1","2017-06-28","1.26720316593691",NA,"0.0406573420744841","1.3150405923323",NA,"0.0421921730007327","138.40190249935","0.953850840719518"
"111","16","2","2017-06-28","1.54005394639501",NA,"0.0261607428315384","1.598191598893",NA,"0.0271483213377261","33.763960702246","0.990567511270537"
"112","17","1","2017-06-28","0.90925315280945","0.911140739339156","0.0222783380241216","0.943577823029267","0.945536666705505","0.0231193541958674","90.0446581316669","0.991427080782189"
"113","17","2","2017-06-28","1.01206443816475",NA,"0.0205556880998313","1.05027027553124",NA,"0.0213316735478752","57.0958069510652","0.98257069887138"
"114","18","1","2017-06-28","1.62285441052374",NA,"0.0213457179140851","1.68411781366277",NA,"0.022151527303629","75.2577307605014","0.991934279500863"
"115","19","1","2017-06-28","1.13957278858234",NA,"0.0279356593829722","1.18259211718044",NA,"0.0289902416989432","155.857432042255","0.966880677089693"
"116","19","2","2017-06-28","1.25267445892411",NA,"0.0140263864070012","1.29996342081828",NA,"0.01455588810442","70.9676675005472","0.993027883695699"
"117","20","1","2017-06-28","0.986824242025836","0.987503228780033","0.111820389918326","1.02407725189201","1.02478187066777","0.116041654365899","194.159727519663","0.947967940382722"
"118","20","2","2017-06-28","1.65347796895782",NA,"0.0176959673499813","1.71589742367717",NA,"0.0183639971958301","96.0344381382357","0.993626718818201"
"119","21","1","2017-06-28","1.08086548115527",NA,"0.044864453714565","1.12166858541507",NA,"0.0465581047880713","136.354520773717","0.928047760744665"
"120","21","2","2017-06-28","2.21837073822849",NA,"0.0263012100887116","2.30211512094491",NA,"0.0272940912900445","126.095881671815","0.992605044713006"
"121","22","1","2017-06-28","1.96785581619815",NA,"0.0342542209052519","2.04214316040195",NA,"0.0355473314461135","52.6798692805453","0.990100012533787"
"122","22","2","2017-06-28","2.61383084346308",NA,"0.038071447192307","2.71250400333615",NA,"0.0395086595523955","110.069891218237","0.990960000732962"
"123","22","3","2017-06-28","3.70473801467501",NA,"0.0370289699047069","3.8445933566242",NA,"0.0384268283301976","109.33023479929","0.995722646945552"
"124","23","1","2017-06-28","0.730690414498635","0.752358317904746","0.0350334007822454","0.758274269922124","0.780760145348977","0.0363559256751354","45.9627550564245","0.988722167625633"
"125","23","2","2017-06-28","0.730690414498635","0.752358317904746","0.0350334007822454","0.758274269922124","0.780760145348977","0.0363559256751354","45.9627550564245","0.988722167625633"
"126","24","1","2017-06-28","0.735345230142417",NA,"0.0215947492908816","0.763104806718386",NA,"0.0224099597145121","92.9928971499724","0.958662015542081"
"127","24","2","2017-06-28","0.899104660035876","0.910592183783991","0.0252390604442091","0.933046220594094","0.94496740295871","0.0261918450716022","99.327397737506","0.985342119961041"
"128","24","3","2017-06-28","0.911529578170534",NA,"0.0179271650232291","0.945940184358303",NA,"0.0186039226737221","43.2056193166466","0.98363988740406"
"129","25","1","2017-06-28","0.455920896921346","0.499269064211775","0.0503576417208336","0.473132093148485","0.518116671093395","0.0522586628388518","159.698710477581","0.825099353531281"
"130","25","2","2017-06-28","0.927967182930505",NA,"0.041820769445827","0.962998315273005",NA,"0.0433995202207148","140.967417312263","0.912859398865173"
"131","25","3","2017-06-28","1.09378394239253",NA,"0.0404603785410094","1.13507472373143",NA,"0.0419877740150839","161.12989004429","0.934766579739265"
"132","26","1","2017-06-28","1.00703816261243",NA,"0.0298580301222695","1.04505425606631",NA,"0.0309851827025972","108.143350942768","0.960322402792599"
"133","26","2","2017-06-28","1.21426592598425",NA,"0.0295277962128008","1.26010495039653",NA,"0.0306424823309525","125.092902801377","0.971282282159466"
"134","26","3","2017-06-28","1.69524887979253",NA,"0.0213258208088288","1.75924520310425",NA,"0.0221308790746904","64.5013852541244","0.993085134506166"
"135","27","1","2017-06-28","1.24042754895187",NA,"0.0229901933518071","1.28725418509583",NA,"0.0238580823469151","107.31090001435","0.982450828888041"
"136","27","2","2017-06-28","1.14665217482271","1.19724185454413","0.030531638487352","1.18993875308314","1.24243821344991","0.0316842200529049","171.092321040387","0.968886453517985"
"137","27","3","2017-06-28","1.34664733692399",NA,"0.0164307073239474","1.39748381255181",NA,"0.0170509730977093","63.5441669517183","0.992611537228169"
"138","28","1","2017-06-28","1.01236456993784",NA,"0.0295859639695641","1.05058173739882",NA,"0.0307028459438008","125.607431963108","0.959045033247628"
"139","28","2","2017-06-28","1.29473151691377",NA,"0.0268655047178105","1.34360814956987",NA,"0.0278796882671097","46.5170459716873","0.985154226260334"
"140","29","1","2017-06-28","1.29763366521264","1.31594795303464","0.0497027455929077","1.34661985512788","1.36562551464088","0.0515790441201382","80.7507746397245","0.993191699495111"
"141","29","2","2017-06-28","2.08264896939105",NA,"0.0281760386709456","2.16126980104515",NA,"0.0292396954011893","90.3827923620447","0.992010918592135"
"142","30","1","2017-06-28","0.969753399389115",NA,"0.0286648383437622","1.00636197811741",NA,"0.0297469474571746","98.9681395945011","0.961361442540525"
"143","31","1","2017-06-28","1.51578721201469",NA,"0.0159308593406343","1.57300878558313",NA,"0.016532255653087","38.8015595926992","0.995053920898072"
"144","32","1","2017-06-28","0.490286349058238",NA,"0.0149101150337187","0.508794854849726",NA,"0.0154729778402876","51.401446020391","0.955802223039192"
"145","32","2","2017-06-28","1.06578272875055","1.08147125614986","0.0220765880226382","1.10601645307397","1.12229722865802","0.022909988051128","66.5761621245796","0.994993436328278"
"146","33","1","2017-06-28","0.392283183367107","0.431013651033961","0.018098211611907","0.407092030452489","0.447284588765954","0.0187814263395411","205.70044713295","0.900831456995125"
"147","33","2","2017-06-28","0.372583332127958","0.393239529018116","0.0583931846677724","0.386648501949121","0.408084478534362","0.0605975507462547","70.5960405430101","0.942769187636386"
"148","34","1","2017-06-28","0.624173915053874",NA,"0.0350706436140179","0.647736730016724",NA,"0.0363945744387045","105.375020978773","0.880474279203051"
"149","34","2","2017-06-28","1.73814736636281",NA,"0.0237999078391346","1.80376312470195",NA,"0.0246983638800251","47.3664770657417","0.992925793216701"
"150","34","3","2017-06-28","1.40481750294791",NA,"0.0166911678840363","1.45784992561119",NA,"0.0173212661481258","35.8236459693266","0.993966437616314"
"151","35","1","2017-06-28","1.4493894998622","1.45552923585448","0.065661495663598","1.5041045332378","1.51047604671968","0.068140243389497","95.3594221485525","0.993450677370812"
"152","35","2","2017-06-28","2.47323246615788",NA,"0.0336139832646618","2.56659798104832",NA,"0.0348829245784961","155.778318168228","0.990304842832658"
"153","36","1","2017-06-28","2.19852041123562",NA,"0.0453840640288711","2.28151543616793",NA,"0.0470973305995866","162.126000063142","0.979546533923659"
"154","37","1","2017-06-28","1.73323669746296",NA,"0.0388620923633596","1.79866707608686",NA,"0.0403291518949134","95.9911878712181","0.980287128121305"
"155","37","2","2017-06-28","1.58532935038437",NA,"0.0311828762570328","1.64517616749312",NA,"0.0323600423088863","82.5656141595205","0.984384992996959"
